label,cosine_sim,Euclidean_dist,pearson,manhattanDisSim,cosine_sim1,Euclidean_dist1,lcsSim,diceSim,editSim,levenSim,jaroSim,jaroWinklerSim
1,0.10206207261596577,4.47213595499958,-0.8838834764831844,20,0.0,1.7320508075688772,0.25,0.5454545454545454,0.0,0.2666666666666667,0.5119047619047619,0.5119047619047619
1,0.10206207261596577,4.47213595499958,-0.8838834764831844,20,0.0,1.7320508075688772,0.25,0.5454545454545454,0.0,0.2666666666666667,0.5119047619047619,0.5119047619047619
1,0.22613350843332272,4.58257569495584,-0.6274022157855924,21,0.0,2.23606797749979,0.4375,0.7058823529411765,0.4375,0.5833333333333333,0.75,0.85
1,0.24253562503633297,5.0,-0.650443635587991,25,0.0,2.0,0.6,0.7142857142857143,0.4,0.6666666666666667,0.8107142857142856,0.8864285714285713
1,0.2551551815399144,5.477225575051661,-0.7377471337344071,30,0.0,2.0,0.6,0.7142857142857143,0.4,0.6666666666666667,0.8107142857142856,0.8864285714285713
1,0.22613350843332272,4.58257569495584,-0.6274022157855924,21,0.0,2.23606797749979,0.4375,0.7058823529411765,0.4375,0.5833333333333333,0.75,0.85
1,0.3952847075210474,4.0,-0.5863019699779287,16,0.0,2.0,0.6,0.7142857142857143,0.4,0.6666666666666667,0.8107142857142856,0.8864285714285713
1,0.2946278254943948,4.898979485566356,-0.7046472718869901,24,0.0,2.0,0.6,0.7142857142857143,0.4,0.6666666666666667,0.8107142857142856,0.8864285714285713
1,0.2551551815399144,5.477225575051661,-0.7377471337344071,30,0.0,2.0,0.6,0.7142857142857143,0.4,0.6666666666666667,0.8107142857142856,0.8864285714285713
1,0.5,2.6457513110645907,-0.4082482904638631,7,0.0,2.23606797749979,0.35,0.7142857142857143,0.35,0.5185185185185186,0.7833333333333333,0.87
1,0.3692744729379982,4.69041575982343,-0.3223291856101521,22,0.0,1.4142135623730951,0.14285714285714285,0.3076923076923077,0.1428571428571429,0.2222222222222222,0.5476190476190476,0.5476190476190476
1,0.09534625892455924,5.0,-0.8738628975053031,25,0.0,1.7320508075688772,0.3,0.5,0.30000000000000004,0.4285714285714286,0.5722222222222223,0.5722222222222223
1,0.3692744729379982,4.69041575982343,-0.3223291856101521,22,0.0,1.4142135623730951,0.14285714285714285,0.3076923076923077,0.1428571428571429,0.2222222222222222,0.5476190476190476,0.5476190476190476
1,0.3692744729379982,4.69041575982343,-0.3223291856101521,22,0.0,1.4142135623730951,0.14285714285714285,0.3076923076923077,0.1428571428571429,0.2222222222222222,0.5476190476190476,0.5476190476190476
1,0.17407765595569785,4.898979485566356,-0.5330017908890261,24,0.0,1.7320508075688772,0.2,0.3333333333333333,0.09999999999999998,0.2857142857142857,0.45,0.45
