label,cosine_sim,Euclidean_dist,pearson,manhattanDisSim,cosine_sim1,Euclidean_dist1,lcsSim,diceSim,editSim,levenSim,jaroSim,jaroWinklerSim
1,0.18257418583505539,5.196152422706632,-0.816496580927726,27,0.5,1.7320508075688772,0.2777777777777778,0.625,0.2777777777777778,0.4347826086956522,0.7592592592592592,0.8555555555555555
1,0.18257418583505539,5.196152422706632,-0.816496580927726,27,0.5,1.7320508075688772,0.2777777777777778,0.625,0.2777777777777778,0.4347826086956522,0.7592592592592592,0.8555555555555555
1,0.2672612419124244,4.358898943540674,-0.6900655593423543,19,0.5773502691896258,1.4142135623730951,0.38461538461538464,0.7142857142857143,0.3846153846153846,0.5555555555555556,0.7948717948717948,0.8769230769230769
1,0.15713484026367722,4.795831523312719,-0.8314794192830981,23,0.0,2.0,0.23529411764705882,0.47058823529411764,0.23529411764705888,0.36363636363636365,0.33921568627450976,0.33921568627450976
1,0.1259881576697424,5.291502622129181,-0.8728715609439694,28,0.0,2.23606797749979,0.16,0.4444444444444444,0.16000000000000003,0.2666666666666667,0.46222222222222226,0.46222222222222226
1,0.2602896031476768,8.94427190999916,-0.6246950475544241,80,0.0,1.4142135623730951,0.4,0.4,0.19999999999999996,0.4,0.6,0.6
1,0.16648178955300671,9.1104335791443,-0.7156780854205469,83,0.0,1.4142135623730951,0.4,0.5,0.4,0.5,0.5111111111111111,0.5111111111111111
1,0.16480856327180388,9.486832980505138,-0.78969246589249,90,0.0,1.4142135623730951,0.25,0.4,0.25,0.3076923076923077,0.5499999999999999,0.5499999999999999
1,0.11826247919781652,5.744562646538029,-0.8690481892534818,33,0.0,2.0,0.11764705882352941,0.3076923076923077,0.05882352941176472,0.19047619047619047,0.5392156862745098,0.5392156862745098
1,0.2830692585361489,5.291502622129181,-0.6864064729836441,28,0.5773502691896258,1.4142135623730951,0.3333333333333333,0.5714285714285714,0.33333333333333337,0.5,0.7777777777777777,0.8666666666666666
1,0.2815462531857365,9.055385138137417,-0.6486383486327902,82,0.0,1.4142135623730951,0.2,0.2222222222222222,0.0,0.2222222222222222,0.48333333333333334,0.48333333333333334
1,0.12909944487358055,5.196152422706632,-0.8708233651742088,27,0.5,1.7320508075688772,0.2777777777777778,0.5555555555555556,0.2777777777777778,0.4347826086956522,0.6925925925925925,0.6925925925925925
1,0.17460757394239454,9.055385138137417,-0.6852095994087879,82,0.0,1.7320508075688772,0.2857142857142857,0.36363636363636365,0.2857142857142857,0.33333333333333337,0.5619047619047619,0.5619047619047619
1,0.1656472891122698,9.273618495495704,-0.7610967695917036,86,0.0,2.23606797749979,0.125,0.2222222222222222,0.125,0.15384615384615385,0.44166666666666665,0.44166666666666665
1,0.17460757394239454,9.055385138137417,-0.6852095994087879,82,0.0,1.7320508075688772,0.25,0.3333333333333333,0.125,0.3076923076923077,0.44166666666666665,0.44166666666666665
