javaclassnum,fieldsprob,fieldsavg,fieldssum
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,15.2,76
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.8,16.2,81
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.9090909090909091,15.0,165
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,13.5,108
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.875,12.5,100
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.8571428571428571,13.857142857142858,97
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9230769230769231,16.307692307692307,212
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.9090909090909091,16.454545454545453,181
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.8571428571428571,15.0,105
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.9545454545454546,11.545454545454545,254
5,0.75,14.0,56
5,0.75,14.0,56
5,0.75,14.0,56
5,0.75,14.0,56
5,0.75,14.0,56
5,0.75,14.0,56
