iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/view.gif"" rightName=""menuItem_OfficeData_Orders"" />",53,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/index_16x16.gif"" rightName=""menuItem_MainData_Office"" />",63,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
iconName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/create_doc_16x16.gif"" />",23,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_UserRoles"" />",72,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/method_16x16.gif"" rightName=""menuItem_Administration_HibernateStats"" />",89,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"<menu id=""menu_Category_Administration"" rightName=""menuCat_Administration"">",67,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_GroupRights"" />",81,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_RoleGroups"" />",76,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/index_16x16.gif"" rightName=""menuItem_MainData_ArticleItems"" />",59,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_Groups"" />",78,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
