smtpFrom,1,AdministrationModel::Tudu-Lists\\src\\main\\java\\tudu\\web\\mvc\\AdministrationModel.java::private String smtpFrom;,
enabled,1,User::Tudu-Lists\\src\\main\\java\\tudu\\domain\\User.java::private boolean enabled;,
MIME_TYPE,1,RssFeedServlet::Tudu-Lists\\src\\main\\java\\tudu\\web\\servlet\\RssFeedServlet.java::"private static final String MIME_TYPE = ""application/xml; charset=UTF-8"";",
TODO_LIST_SORT_BY,1,TodosDwrImpl::Tudu-Lists\\src\\main\\java\\tudu\\web\\dwr\\impl\\TodosDwrImpl.java::"private static final String TODO_LIST_SORT_BY = ""TODO_LIST_SORT_BY"";",
smtpPassword,1,AdministrationModel::Tudu-Lists\\src\\main\\java\\tudu\\web\\mvc\\AdministrationModel.java::private String smtpPassword;,
FEED_TYPE,1,RssFeedServlet::Tudu-Lists\\src\\main\\java\\tudu\\web\\servlet\\RssFeedServlet.java::"private static final String FEED_TYPE = ""rss_2.0"";",
isMonitored,1,MonitorFilter::Tudu-Lists\\src\\main\\java\\tudu\\web\\filter\\MonitorFilter.java::private boolean isMonitored = false;,
value,1,Property::Tudu-Lists\\src\\main\\java\\tudu\\domain\\Property.java::private String value;,
key,1,Property::Tudu-Lists\\src\\main\\java\\tudu\\domain\\Property.java::private String key;,
email,1,User::Tudu-Lists\\src\\main\\java\\tudu\\domain\\User.java::private String email;,
verifyPassword,1,User::Tudu-Lists\\src\\main\\java\\tudu\\domain\\User.java::private String verifyPassword;,
SORT_BY_PRIORITY,1,TodosDwrImpl::Tudu-Lists\\src\\main\\java\\tudu\\web\\dwr\\impl\\TodosDwrImpl.java::"private static final String SORT_BY_PRIORITY = ""priority"";",
searchLogin,1,AdministrationModel::Tudu-Lists\\src\\main\\java\\tudu\\web\\mvc\\AdministrationModel.java::private String searchLogin;,
todoListsDwr,1,TodoListsDwrImplTest::Tudu-Lists\\src\\test\\java\\tudu\\web\\dwr\\impl\\TodoListsDwrImplTest.java::TodoListsDwrImpl todoListsDwr = new TodoListsDwrImpl();,
smtpHost,1,AdministrationModel::Tudu-Lists\\src\\main\\java\\tudu\\web\\mvc\\AdministrationModel.java::private String smtpHost;,
staticContent,1,ConfigurationServiceImpl::Tudu-Lists\\src\\main\\java\\tudu\\service\\impl\\ConfigurationServiceImpl.java::"public static String staticContent = """";",
VERSION,1,Constants::Tudu-Lists\\src\\main\\java\\tudu\\Constants.java::"public static final String VERSION = ""3.0-ALPHA"";",
completionDate,1,Todo::Tudu-Lists\\src\\main\\java\\tudu\\domain\\Todo.java::private Date completionDate;,
todos,1,TodoList::Tudu-Lists\\src\\main\\java\\tudu\\domain\\TodoList.java::private Set<Todo> todos = new HashSet<Todo>();,
