label,cosine_sim,Euclidean_dist,pearson,manhattanDisSim,cosine_sim1,Euclidean_dist1,lcsSim,diceSim,editSim,levenSim,jaroSim,jaroWinklerSim
1,0.8944271909999159,1.4142135623730951,0.0,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8660254037844386,1.7320508075688772,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7844645405527362,2.23606797749979,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7254762501100117,3.0,0.0,9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8528028654224417,1.7320508075688772,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8528028654224417,1.7320508075688772,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8944271909999159,1.4142135623730951,0.0,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8770580193070293,1.7320508075688772,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7288689868556625,3.872983346207417,0.0,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7745966692414834,2.449489742783178,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8528028654224417,1.7320508075688772,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.4073065399812784,5.0990195135927845,-0.33942211665106525,26,0.0,2.8284271247461903,0.29411764705882354,0.6,0.23529411764705888,0.3448275862068966,0.5221755368814193,0.5221755368814193
1,0.4375,5.0990195135927845,-0.31249999999999994,26,0.0,2.6457513110645907,0.26666666666666666,0.5263157894736842,0.19999999999999996,0.2962962962962963,0.5166666666666667,0.5166666666666667
1,0.8451542547285166,2.0,0.0,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.3223291856101521,4.123105625617661,-0.6741998624632419,17,0.7071067811865475,1.0,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6153846153846154,0.8148148148148149,0.888888888888889
1,0.8451542547285166,2.0,0.0,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
